iid;title;year;Animation;Adventure;Children;Comedy;Fantasy;Romance;Drama;Action;Crime;Thriller;Horror;Mystery;Sci-Fi;War;Musical;Documentary;IMAX;Western;Film-Noir;(no genres listed);directors;actors;writers
0;Toy Story;1990;True;True;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
1;Jumanji;1990;False;True;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
2;Grumpier Old Men;1990;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
3;Father of the Bride Part II;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
4;Heat;1990;False;False;False;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;;;
5;Sabrina;1990;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
6;Sudden Death;1990;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;;;
7;GoldenEye;1990;False;True;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;;;
8;American President;1990;False;False;False;True;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
9;Dracula: Dead and Loving It;1990;False;False;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;;;
10;Nixon;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
11;Cutthroat Island;1990;False;True;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;;;
12;Casino;1990;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
13;Sense and Sensibility;1990;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
14;Four Rooms;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
15;Ace Ventura: When Nature Calls;1990;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
16;Money Train;1990;False;False;False;True;False;False;True;True;True;True;False;False;False;False;False;False;False;False;False;False;;;
17;Get Shorty;1990;False;False;False;True;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;;;
18;Copycat;1990;False;False;False;False;False;False;True;False;True;True;True;True;False;False;False;False;False;False;False;False;;;
19;Assassins;1990;False;False;False;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;;;
20;Powder;1990;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;;;
21;Leaving Las Vegas;1990;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
22;Othello;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
23;Persuasion;1990;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
24;City of Lost Children;1990;False;True;False;False;True;False;True;False;False;False;False;True;True;False;False;False;False;False;False;False;;;
25;Dangerous Minds;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
26;Twelve Monkeys;1990;False;False;False;False;False;False;False;False;False;True;False;True;True;False;False;False;False;False;False;False;;;
27;Babe;1990;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
28;Dead Man Walking;1990;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
29;Clueless;1990;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
30;Richard III;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;;;
31;Mortal Kombat;1990;False;True;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;;;
32;To Die For;1990;False;False;False;True;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;;;
33;How to Make an American Quilt;1990;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
34;Seven;1990;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;;;
35;Pocahontas;1990;True;False;True;False;False;True;True;False;False;False;False;False;False;False;True;False;False;False;False;False;;;
