Initial performance HR@5: 0.0495, HR@10: 0.1124, HR@15: 0.1662, HR@20: 0.2103, NDCG@5: 0.0275, NDCG@10: 0.0476, NDCG@15: 0.0618, NDCG@20: 0.0722, AUC: 0.4936, eval loss: 0.3066 
Initial performance HR@5: 0.1274, HR@10: 0.1401, HR@15: 0.1720, HR@20: 0.2739, NDCG@5: 0.1214, NDCG@10: 0.1255, NDCG@15: 0.1338, NDCG@20: 0.1579, AUC: 0.6581, eval loss: 0.3152 
Run: 1, epoch: 1, HR@5: 0.1210, HR@10: 0.1338, HR@15: 0.1975, HR@20: 0.3312, NDCG@5: 0.1178, NDCG@10: 0.1217, NDCG@15: 0.1384, NDCG@20: 0.1695, AUC: 0.6611, train loss: 0.3010, eval loss: 0.3072 
Run: 1, epoch: 2, HR@5: 0.1146, HR@10: 0.1401, HR@15: 0.1656, HR@20: 0.3121, NDCG@5: 0.1146, NDCG@10: 0.1225, NDCG@15: 0.1291, NDCG@20: 0.1636, AUC: 0.6584, train loss: 0.2835, eval loss: 0.3058 
Run: 1, epoch: 3, HR@5: 0.1210, HR@10: 0.1401, HR@15: 0.1783, HR@20: 0.2548, NDCG@5: 0.1171, NDCG@10: 0.1230, NDCG@15: 0.1328, NDCG@20: 0.1505, AUC: 0.6615, train loss: 0.2761, eval loss: 0.2983 
Run: 1, epoch: 4, HR@5: 0.1210, HR@10: 0.1338, HR@15: 0.1783, HR@20: 0.2803, NDCG@5: 0.1174, NDCG@10: 0.1216, NDCG@15: 0.1331, NDCG@20: 0.1568, AUC: 0.6509, train loss: 0.2622, eval loss: 0.2943 
Run: 1, epoch: 5, HR@5: 0.1210, HR@10: 0.1401, HR@15: 0.1847, HR@20: 0.2866, NDCG@5: 0.1187, NDCG@10: 0.1244, NDCG@15: 0.1357, NDCG@20: 0.1596, AUC: 0.6567, train loss: 0.2528, eval loss: 0.2879 
Run: 1, epoch: 6, HR@5: 0.1210, HR@10: 0.1338, HR@15: 0.1975, HR@20: 0.2930, NDCG@5: 0.1138, NDCG@10: 0.1177, NDCG@15: 0.1344, NDCG@20: 0.1569, AUC: 0.6579, train loss: 0.2457, eval loss: 0.2826 
Initial performance HR@5: 0.1274, HR@10: 0.1401, HR@15: 0.1720, HR@20: 0.2739, NDCG@5: 0.1214, NDCG@10: 0.1255, NDCG@15: 0.1338, NDCG@20: 0.1579, AUC: 0.6581, eval loss: 0.3152 
Run: 1, epoch: 1, HR@5: 0.1210, HR@10: 0.1338, HR@15: 0.1975, HR@20: 0.3312, NDCG@5: 0.1178, NDCG@10: 0.1217, NDCG@15: 0.1384, NDCG@20: 0.1695, AUC: 0.6611, train loss: 0.3010, eval loss: 0.3072 
Run: 1, epoch: 2, HR@5: 0.1146, HR@10: 0.1401, HR@15: 0.1656, HR@20: 0.3121, NDCG@5: 0.1146, NDCG@10: 0.1225, NDCG@15: 0.1291, NDCG@20: 0.1636, AUC: 0.6584, train loss: 0.2835, eval loss: 0.3058 
Run: 1, epoch: 3, HR@5: 0.1210, HR@10: 0.1401, HR@15: 0.1783, HR@20: 0.2548, NDCG@5: 0.1171, NDCG@10: 0.1230, NDCG@15: 0.1328, NDCG@20: 0.1505, AUC: 0.6615, train loss: 0.2761, eval loss: 0.2983 
Run: 1, epoch: 4, HR@5: 0.1210, HR@10: 0.1338, HR@15: 0.1783, HR@20: 0.2803, NDCG@5: 0.1174, NDCG@10: 0.1216, NDCG@15: 0.1331, NDCG@20: 0.1568, AUC: 0.6509, train loss: 0.2622, eval loss: 0.2943 
Run: 1, epoch: 5, HR@5: 0.1210, HR@10: 0.1401, HR@15: 0.1847, HR@20: 0.2866, NDCG@5: 0.1187, NDCG@10: 0.1244, NDCG@15: 0.1357, NDCG@20: 0.1596, AUC: 0.6567, train loss: 0.2528, eval loss: 0.2879 
Run: 1, epoch: 6, HR@5: 0.1210, HR@10: 0.1338, HR@15: 0.1975, HR@20: 0.2930, NDCG@5: 0.1138, NDCG@10: 0.1177, NDCG@15: 0.1344, NDCG@20: 0.1569, AUC: 0.6579, train loss: 0.2457, eval loss: 0.2826 
Run: 1, epoch: 7, HR@5: 0.1146, HR@10: 0.1274, HR@15: 0.1911, HR@20: 0.2994, NDCG@5: 0.1091, NDCG@10: 0.1135, NDCG@15: 0.1300, NDCG@20: 0.1555, AUC: 0.6623, train loss: 0.2366, eval loss: 0.2731 
Run: 1, epoch: 8, HR@5: 0.1210, HR@10: 0.1338, HR@15: 0.1783, HR@20: 0.3057, NDCG@5: 0.1060, NDCG@10: 0.1102, NDCG@15: 0.1217, NDCG@20: 0.1517, AUC: 0.6613, train loss: 0.2268, eval loss: 0.2679 
Run: 1, epoch: 9, HR@5: 0.1083, HR@10: 0.1529, HR@15: 0.1847, HR@20: 0.3057, NDCG@5: 0.1027, NDCG@10: 0.1173, NDCG@15: 0.1257, NDCG@20: 0.1539, AUC: 0.6568, train loss: 0.2151, eval loss: 0.2635 
Run: 1, epoch: 10, HR@5: 0.1338, HR@10: 0.1465, HR@15: 0.2102, HR@20: 0.2930, NDCG@5: 0.1040, NDCG@10: 0.1077, NDCG@15: 0.1245, NDCG@20: 0.1438, AUC: 0.6538, train loss: 0.2102, eval loss: 0.2529 
Run: 1, epoch: 11, HR@5: 0.1146, HR@10: 0.1465, HR@15: 0.2166, HR@20: 0.2739, NDCG@5: 0.1040, NDCG@10: 0.1137, NDCG@15: 0.1322, NDCG@20: 0.1458, AUC: 0.6501, train loss: 0.2020, eval loss: 0.2375 
Run: 1, epoch: 12, HR@5: 0.1210, HR@10: 0.1847, HR@15: 0.2102, HR@20: 0.2803, NDCG@5: 0.1006, NDCG@10: 0.1201, NDCG@15: 0.1268, NDCG@20: 0.1432, AUC: 0.6396, train loss: 0.1917, eval loss: 0.2200 
Run: 1, epoch: 13, HR@5: 0.1401, HR@10: 0.1847, HR@15: 0.2548, HR@20: 0.2866, NDCG@5: 0.1098, NDCG@10: 0.1234, NDCG@15: 0.1418, NDCG@20: 0.1492, AUC: 0.6339, train loss: 0.1760, eval loss: 0.1975 
Run: 1, epoch: 14, HR@5: 0.1083, HR@10: 0.1783, HR@15: 0.2548, HR@20: 0.2866, NDCG@5: 0.0908, NDCG@10: 0.1136, NDCG@15: 0.1340, NDCG@20: 0.1415, AUC: 0.6217, train loss: 0.1700, eval loss: 0.1703 
Run: 1, epoch: 15, HR@5: 0.1338, HR@10: 0.1911, HR@15: 0.2484, HR@20: 0.2739, NDCG@5: 0.0981, NDCG@10: 0.1159, NDCG@15: 0.1313, NDCG@20: 0.1372, AUC: 0.6001, train loss: 0.1565, eval loss: 0.1411 
Run: 1, epoch: 16, HR@5: 0.1274, HR@10: 0.1975, HR@15: 0.2293, HR@20: 0.2930, NDCG@5: 0.0861, NDCG@10: 0.1086, NDCG@15: 0.1170, NDCG@20: 0.1320, AUC: 0.5808, train loss: 0.1447, eval loss: 0.1153 
Run: 1, epoch: 17, HR@5: 0.1083, HR@10: 0.1783, HR@15: 0.2548, HR@20: 0.3121, NDCG@5: 0.0733, NDCG@10: 0.0957, NDCG@15: 0.1165, NDCG@20: 0.1301, AUC: 0.5693, train loss: 0.1326, eval loss: 0.0983 
Run: 1, epoch: 18, HR@5: 0.1083, HR@10: 0.2102, HR@15: 0.2739, HR@20: 0.3185, NDCG@5: 0.0734, NDCG@10: 0.1068, NDCG@15: 0.1239, NDCG@20: 0.1343, AUC: 0.5695, train loss: 0.1207, eval loss: 0.0820 
Run: 1, epoch: 19, HR@5: 0.0955, HR@10: 0.1975, HR@15: 0.2484, HR@20: 0.2866, NDCG@5: 0.0658, NDCG@10: 0.0986, NDCG@15: 0.1123, NDCG@20: 0.1214, AUC: 0.5559, train loss: 0.1071, eval loss: 0.0779 
Run: 1, epoch: 20, HR@5: 0.1274, HR@10: 0.2038, HR@15: 0.2420, HR@20: 0.2866, NDCG@5: 0.0773, NDCG@10: 0.1016, NDCG@15: 0.1118, NDCG@20: 0.1224, AUC: 0.5577, train loss: 0.0932, eval loss: 0.0695 
Run: 1, epoch: 21, HR@5: 0.1210, HR@10: 0.2293, HR@15: 0.2484, HR@20: 0.3185, NDCG@5: 0.0750, NDCG@10: 0.1096, NDCG@15: 0.1144, NDCG@20: 0.1309, AUC: 0.5596, train loss: 0.0877, eval loss: 0.0659 
Run: 1, epoch: 22, HR@5: 0.1083, HR@10: 0.2229, HR@15: 0.2675, HR@20: 0.3376, NDCG@5: 0.0709, NDCG@10: 0.1101, NDCG@15: 0.1219, NDCG@20: 0.1383, AUC: 0.5606, train loss: 0.0763, eval loss: 0.0586 
Run: 1, epoch: 23, HR@5: 0.1274, HR@10: 0.2229, HR@15: 0.2739, HR@20: 0.3376, NDCG@5: 0.0843, NDCG@10: 0.1156, NDCG@15: 0.1292, NDCG@20: 0.1442, AUC: 0.5717, train loss: 0.0683, eval loss: 0.0542 
Run: 1, epoch: 24, HR@5: 0.1338, HR@10: 0.2229, HR@15: 0.3121, HR@20: 0.3376, NDCG@5: 0.0827, NDCG@10: 0.1120, NDCG@15: 0.1355, NDCG@20: 0.1415, AUC: 0.5727, train loss: 0.0600, eval loss: 0.0506 
Run: 1, epoch: 25, HR@5: 0.1401, HR@10: 0.2548, HR@15: 0.3121, HR@20: 0.3503, NDCG@5: 0.0869, NDCG@10: 0.1236, NDCG@15: 0.1384, NDCG@20: 0.1475, AUC: 0.5749, train loss: 0.0559, eval loss: 0.0470 
Run: 1, epoch: 26, HR@5: 0.1338, HR@10: 0.2484, HR@15: 0.3121, HR@20: 0.3439, NDCG@5: 0.0802, NDCG@10: 0.1179, NDCG@15: 0.1348, NDCG@20: 0.1423, AUC: 0.5776, train loss: 0.0513, eval loss: 0.0438 
Run: 1, epoch: 27, HR@5: 0.1592, HR@10: 0.2420, HR@15: 0.3057, HR@20: 0.3567, NDCG@5: 0.0941, NDCG@10: 0.1208, NDCG@15: 0.1379, NDCG@20: 0.1499, AUC: 0.5754, train loss: 0.0441, eval loss: 0.0386 
Run: 1, epoch: 28, HR@5: 0.1210, HR@10: 0.2611, HR@15: 0.3121, HR@20: 0.3694, NDCG@5: 0.0717, NDCG@10: 0.1172, NDCG@15: 0.1307, NDCG@20: 0.1443, AUC: 0.5797, train loss: 0.0408, eval loss: 0.0369 
Run: 1, epoch: 29, HR@5: 0.1592, HR@10: 0.2548, HR@15: 0.3248, HR@20: 0.3439, NDCG@5: 0.0906, NDCG@10: 0.1204, NDCG@15: 0.1389, NDCG@20: 0.1434, AUC: 0.5913, train loss: 0.0374, eval loss: 0.0343 
Run: 1, epoch: 30, HR@5: 0.1274, HR@10: 0.2675, HR@15: 0.3057, HR@20: 0.3631, NDCG@5: 0.0820, NDCG@10: 0.1270, NDCG@15: 0.1373, NDCG@20: 0.1507, AUC: 0.5871, train loss: 0.0326, eval loss: 0.0322 
Run: 1, Duration: 640.2923, HR@5: 0.1592, HR@10: 0.2675, HR@15: 0.3248, HR@20: 0.3694, NDCG@5: 0.1187, NDCG@10: 0.1270, NDCG@15: 0.1418, NDCG@20: 0.1695, AUC: 0.6623, train_loss: 0.0326, eval loss: 0.0322
Initial performance HR@5: 0.1783, HR@10: 0.1847, HR@15: 0.1975, HR@20: 0.2038, NDCG@5: 0.1233, NDCG@10: 0.1253, NDCG@15: 0.1288, NDCG@20: 0.1303, AUC: 0.4662, eval loss: 0.3121 
Run: 2, epoch: 1, HR@5: 0.1720, HR@10: 0.1847, HR@15: 0.1911, HR@20: 0.2038, NDCG@5: 0.1227, NDCG@10: 0.1270, NDCG@15: 0.1287, NDCG@20: 0.1317, AUC: 0.4616, train loss: 0.3155, eval loss: 0.3064 
